P112808484000189042995663                   CELESTE ALIMENTOS                                 
P212808484000189001JOELHO 45 ESGOTO SN DN  75                                                00612JOELHO 45 ESGOTO SN DN  75              T1700000000000000
P212808484000189001JOELHO 45 ESGOTO SN DN 100                                                00613JOELHO 45 ESGOTO SN DN 100              T1700000000000000
P212808484000189001TE SOLD BUCHA LT 20MMX1/2                                                 00614TE SOLD BUCHA LT 20MMX1/2               T1700000000000000
P212808484000189001TE SOLD BUCHA LT 25MMX3/4                                                 00615TE SOLD BUCHA LT 25MMX3/4               T1700000000000000
P212808484000189001TE SOLD BUCHA LT 25MMX1/2                                                 00616TE SOLD BUCHA LT 25MMX1/2               T1700000000000000
P212808484000189001ARMADOR 200 - SACO PLASTICO                                               00617ARMADOR 200 - SACO PLASTICO             T1700000000000000
P212808484000189001DOBRADICA 780 X 4" POLIDO                                                 00618DOBRADICA 780 X 4" POLIDO               T1700000000000000
P212808484000189001DOBRADICA 780 X 4" ZINCADO                                                00619DOBRADICA 780 X 4" ZINCADO              T1700000000000000
P212808484000189001DOBRADICA 650 X 2.1/2" POLIDO                                             00620DOBRADICA 650 X 2.1/2" POLIDO           T1700000000000000
P212808484000189001DOBRADICA 650 X 3" POLIDO                                                 00621DOBRADICA 650 X 3" POLIDO               T1700000000000000
P212808484000189001DOBRADICA 650 X 3.1/2" POLIDO                                             00622DOBRADICA 650 X 3.1/2" POLIDO           T1700000000000000
P212808484000189001DOBRADICA 650 X 2.1/2" ZINCADO                                            00623DOBRADICA 650 X 2.1/2" ZINCADO          T1700000000000000
P212808484000189001DOBRADICA 650 X 3" ZINCADO                                                00624DOBRADICA 650 X 3" ZINCADO              T1700000000000000
P212808484000189001DOBRADICA 650 X 3.1/2" ZINCADO                                            00625DOBRADICA 650 X 3.1/2" ZINCADO          T1700000000000000
P212808484000189001DOBRADICA 850 X 2.1/2" ZINCADO                                            00626DOBRADICA 850 X 2.1/2" ZINCADO          T1700000000000000
P212808484000189001DOBRADICA 850 X 3" ZINCADO                                                00627DOBRADICA 850 X 3" ZINCADO              T1700000000000000
P212808484000189001DOBRADICA 850 X 3.1/2" ZINCADO                                            00628DOBRADICA 850 X 3.1/2" ZINCADO          T1700000000000000
P212808484000189001FERROLHO 450 X 3" ZINCADO                                                 00629FERROLHO 450 X 3" ZINCADO               T1700000000000000
P212808484000189001FERROLHO 450 X 4" ZINCADO                                                 00630FERROLHO 450 X 4" ZINCADO               T1700000000000000
P212808484000189001FERROLHO 450 X 5" ZINCADO                                                 00631FERROLHO 450 X 5" ZINCADO               T1700000000000000
P212808484000189001FERROLHO 700 X 4"                                                         00632FERROLHO 700 X 4"                       T1700000000000000
P212808484000189001FERROLHO 700 X 5"                                                         00633FERROLHO 700 X 5"                       T1700000000000000
P212808484000189001FERROLHO 600 X 4" ZINCADO                                                 00634FERROLHO 600 X 4" ZINCADO               T1700000000000000
P212808484000189001FERROLHO 600 X 5" ZINCADO                                                 00635FERROLHO 600 X 5" ZINCADO               T1700000000000000
P212808484000189001FERROLHO 500 X 4" NIQUELADO                                               00636FERROLHO 500 X 4" NIQUELADO             T1700000000000000
P212808484000189001FERROLHO 500 X 5" NIQUELADO                                               00637FERROLHO 500 X 5" NIQUELADO             T1700000000000000
P212808484000189001TARJETA 1.1/2" ZINCADO                                                    00638TARJETA 1.1/2" ZINCADO                  T1700000000000000
P212808484000189001TARJETA 2" ZINCADO                                                        00639TARJETA 2" ZINCADO                      T1700000000000000
P212808484000189001CLSAKDLFKALSCDLCFC                                                        00148CLSAKDLFKALSCDLCFC                      T1700000000000000
P212808484000189001TARJETA 2.1/2" ZINCADO                                                    00640TARJETA 2.1/2" ZINCADO                  T1700000000000000
P212808484000189001TARJETA 3" ZINCADO                                                        00641TARJETA 3" ZINCADO                      T1700000000000000
P212808484000189001FECHADURA 930 X 2 PINTADO                                                 00642FECHADURA 930 X 2 PINTADO               T1700000000000000
P212808484000189001FECHADURA 930 X 2 - CX. INDIVIDUAL                                        00643FECHADURA 930 X 2 - CX. INDIVIDUAL      T1700000000000000
P212808484000189001FECHADURA EXT. MACICA ALAV. RETA 9501/03                                  00644FECHADURA EXT. MACICA ALAV. RETA 9501/03T1700000000000000
P212808484000189001FECHADURA INT. MACICA ALAV. RETA 9510/03                                  00645FECHADURA INT. MACICA ALAV. RETA 9510/03T1700000000000000
P212808484000189001FECHADURA BAN. MACICA ALAV. RETA 9520/03                                  00646FECHADURA BAN. MACICA ALAV. RETA 9520/03T1700000000000000
P212808484000189001CARTELAO DUPLA FACE DIVERSOS                                              00647CARTELAO DUPLA FACE DIVERSOS            T1700000000000000
P212808484000189001DOBRADICA 850 X 2" ZINCADO                                                00648DOBRADICA 850 X 2" ZINCADO              T1700000000000000
P212808484000189001PISO CER. 30X30 ATLANTA A                                                 00650PISO CER. 30X30 ATLANTA A               T1700000000000000
P212808484000189001PARAFUSO SEXTAVADO 5/16X110M                                              00651PARAFUSO SEXTAVADO 5/16X110M            T1700000000000000
P212808484000189001ARMADOR TIPO BATOM                                                        00652ARMADOR TIPO BATOM                      T1700000000000000
P212808484000189001PISO CER. 20X20 VENUS CINZA A                                             00653PISO CER. 20X20 VENUS CINZA A           T1700000000000000
P212808484000189001PISO CER. 20X20 VENUS BEGE A                                              00654PISO CER. 20X20 VENUS BEGE A            T1700000000000000
P212808484000189001PISO CER. 30X30 MALLORCA ESMERALDA A                                      00655PISO CER. 30X30 MALLORCA ESMERALDA A    T1700000000000000
P212808484000189001COLUNA POP 6M GG 1/4  X 7X14                                              00656COLUNA POP 6M GG 1/4  X 7X14            T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS BEGE A                                             00657PISO CER. 30X30 DALLAS BEGE A           T1700000000000000
P212808484000189001TELHA KALHETAO 8MM 7.40M                                                  00663TELHA KALHETAO 8MM 7.40M                T1700000000000000
P212808484000189001HIDRALATEX AMARELO VANILA 4X3,6                                           00665HIDRALATEX AMARELO VANILA 4X3,6         T1700000000000000
P212808484000189001HIDRALATEX BRANCO 4X3,6                                                   00666HIDRALATEX BRANCO 4X3,6                 T1700000000000000
P212808484000189001HIDRALATEX BRANCO GELO 4X3,6                                              00667HIDRALATEX BRANCO GELO 4X3,6            T1700000000000000
P212808484000189001HIDRALATEX AREIA 4X3,6                                                    00668HIDRALATEX AREIA 4X3,6                  T1700000000000000
P212808484000189001HIDRALATEX CAMURCA 4X3,6                                                  00669HIDRALATEX CAMURCA 4X3,6                T1700000000000000
P212808484000189001HIDRALATEX MARFIM 4X3,6                                                   00670HIDRALATEX MARFIM 4X3,6                 T1700000000000000
P212808484000189001HIDRALATEX VERDE AMAZONAS 4X3,6                                           00671HIDRALATEX VERDE AMAZONAS 4X3,6         T1700000000000000
P212808484000189001HIDRALATEX VERDE KIWI 4X3,6                                               00672HIDRALATEX VERDE KIWI 4X3,6             T1700000000000000
P212808484000189001HIDRALATEX PALHA 4X3,6                                                    00673HIDRALATEX PALHA 4X3,6                  T1700000000000000
P212808484000189001HIDRALATEX CROMO SUAVE 4X3,6                                              00675HIDRALATEX CROMO SUAVE 4X3,6            T1700000000000000
P212808484000189001HIDRALATEX PEROLA 4X3,6                                                   00676HIDRALATEX PEROLA 4X3,6                 T1700000000000000
P212808484000189001HIDRALATEX PESSEGO 4X3,6                                                  00677HIDRALATEX PESSEGO 4X3,6                T1700000000000000
P212808484000189001HIDRALATEX FLAMINGO 4X3,6                                                 00678HIDRALATEX FLAMINGO 4X3,6               T1700000000000000
P212808484000189001HIDRALATEX TERRACOTA 4X3,6                                                00679HIDRALATEX TERRACOTA 4X3,6              T1700000000000000
P212808484000189001HIDRALATEX AZUL MIRAGE 4X3,6                                              00680HIDRALATEX AZUL MIRAGE 4X3,6            T1700000000000000
P212808484000189001HIDRALATEX CONCRETO 4X3,6                                                 00681HIDRALATEX CONCRETO 4X3,6               T1700000000000000
P212808484000189001HIDRALATEX BRANCO 18L                                                     00682HIDRALATEX BRANCO 18L                   T1700000000000000
P212808484000189001HIDRALATEX BRANCO GELO 18L                                                00683HIDRALATEX BRANCO GELO 18L              T1700000000000000
P212808484000189001HIDRALATEX AREIA 18L                                                      00684HIDRALATEX AREIA 18L                    T1700000000000000
P212808484000189001HIDRALATEX CAMURCA 18L                                                    00685HIDRALATEX CAMURCA 18L                  T1700000000000000
P212808484000189001HIDRALATEX MARFIM 18L                                                     00686HIDRALATEX MARFIM 18L                   T1700000000000000
P212808484000189001HIDRALATEX AMARELO VANILA 18L                                             00687HIDRALATEX AMARELO VANILA 18L           T1700000000000000
P212808484000189001HIDRALATEX VERDE AMAZONAS 18L                                             00688HIDRALATEX VERDE AMAZONAS 18L           T1700000000000000
P212808484000189001HIDRALATEX VERDE KIWI 18L                                                 00689HIDRALATEX VERDE KIWI 18L               T1700000000000000
P212808484000189001HIDRALATEX PALHA 18L                                                      00690HIDRALATEX PALHA 18L                    T1700000000000000
P212808484000189001HIDRALATEX CROMO SUAVE 18L                                                00691HIDRALATEX CROMO SUAVE 18L              T1700000000000000
P212808484000189001HIDRALATEX PEROLA 18L                                                     00692HIDRALATEX PEROLA 18L                   T1700000000000000
P212808484000189001HIDRALATEX PESSEGO 18L                                                    00693HIDRALATEX PESSEGO 18L                  T1700000000000000
P212808484000189001HIDRALATEX TERRACOTA 18L                                                  00694HIDRALATEX TERRACOTA 18L                T1700000000000000
P212808484000189001HIDRALATEX AZUL MIRAGE 18L                                                00695HIDRALATEX AZUL MIRAGE 18L              T1700000000000000
P212808484000189001HIDRALATEX CONCRETO 18L                                                   00696HIDRALATEX CONCRETO 18L                 T1700000000000000
P212808484000189001MASSA PVA HIDRACOR 6X900                                                  00697MASSA PVA HIDRACOR 6X900                T1700000000000000
P212808484000189001VERNIZ COPAL 900                                                          00698VERNIZ COPAL 900                        T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 BRANCO                                               00699LATEX RENDMAIS 4X3,6 BRANCO             T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 BRANCO GELO                                          00700LATEX RENDMAIS 4X3,6 BRANCO GELO        T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 MARFIM                                               00701LATEX RENDMAIS 4X3,6 MARFIM             T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 AREIA                                                00702LATEX RENDMAIS 4X3,6 AREIA              T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 PESSEGO                                              00703LATEX RENDMAIS 4X3,6 PESSEGO            T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 CAMURCA                                              00704LATEX RENDMAIS 4X3,6 CAMURCA            T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 AZUL PAVAO                                           00705LATEX RENDMAIS 4X3,6 AZUL PAVAO         T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 PALHA                                                00706LATEX RENDMAIS 4X3,6 PALHA              T1700000000000000
P212808484000189001LATEX RENDMAIS 18L BRANCO                                                 00707LATEX RENDMAIS 18L BRANCO               T1700000000000000
P212808484000189001LATEX RENDMAIS 18L BRANCO GELO                                            00708LATEX RENDMAIS 18L BRANCO GELO          T1700000000000000
P212808484000189001LATEX RENDMAIS 18L AREIA                                                  00709LATEX RENDMAIS 18L AREIA                T1700000000000000
P212808484000189001LATEX RENDMAIS 18L CAMURCA                                                00710LATEX RENDMAIS 18L CAMURCA              T1700000000000000
P212808484000189001LATEX RENDMAIS 18L FLAMINGO                                               00711LATEX RENDMAIS 18L FLAMINGO             T1700000000000000
P212808484000189001LATEX RENDMAIS 18L PEROLA                                                 00712LATEX RENDMAIS 18L PEROLA               T1700000000000000
P212808484000189001LATEX RENDMAIS 18L MARFIM                                                 00713LATEX RENDMAIS 18L MARFIM               T1700000000000000
P212808484000189001LATEX RENDMAIS 18L PESSEGO                                                00714LATEX RENDMAIS 18L PESSEGO              T1700000000000000
P212808484000189001LATEX RENDMAIS 18L AZUL PAVAO                                             00715LATEX RENDMAIS 18L AZUL PAVAO           T1700000000000000
P212808484000189001LATEX RENDMAIS 18L PALHA                                                  00716LATEX RENDMAIS 18L PALHA                T1700000000000000
P212808484000189001HIDRALATEX FLAMINGO 18L                                                   00717HIDRALATEX FLAMINGO 18L                 T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 PEROLA                                               00718LATEX RENDMAIS 4X3,6 PEROLA             T1700000000000000
P212808484000189001LATEX RENDMAIS 4X3,6 FLAMINGO                                             00719LATEX RENDMAIS 4X3,6 FLAMINGO           T1700000000000000
P212808484000189001ASSENTO SANIT.FOFINHO PLUS CARAMELO                                       00720ASSENTO SANIT.FOFINHO PLUS CARAMELO     T1700000000000000
P212808484000189001CAIXA DESCARGA PLUS CARAMELO                                              00721CAIXA DESCARGA PLUS CARAMELO            T1700000000000000
P212808484000189001CHAPA FIBROTEX 4MM 2.13X0.50M                                             00722CHAPA FIBROTEX 4MM 2.13X0.50M           T1700000000000000
P212808484000189001JUNCAO SIMPLES RED ESGOTO SN DN 100X75                                    00723JUNCAO SIMPLES RED ESGOTO SN DN 100X75  T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO SN DN  75                                             00724LUVA SIMPLES ESGOTO SN DN  75           T1700000000000000
P212808484000189001REJUNTE PISO COLA CREME FRD 40X1                                          00725REJUNTE PISO COLA CREME FRD 40X1        T1700000000000000
P212808484000189001REJUNTE PISO COLA BEGE FRD 40X1                                           00726REJUNTE PISO COLA BEGE FRD 40X1         T1700000000000000
P212808484000189001GESSO PISO COLA FRD 30X1                                                  00727GESSO PISO COLA FRD 30X1                T1700000000000000
P212808484000189001TELHA KALHETAO 8MM 9.20M                                                  00728TELHA KALHETAO 8MM 9.20M                T1700000000000000
P212808484000189001TELHA KALHETAO 8MM 8.20M                                                  00729TELHA KALHETAO 8MM 8.20M                T1700000000000000
P212808484000189001TUBO PVC AMANCO SOLDAVEL  40 X 6M                                         00730TUBO PVC AMANCO SOLDAVEL  40 X 6M       T1700000000000000
P212808484000189001TUBO SL AMANCO DN 250 X 6M                                                00731TUBO SL AMANCO DN 250 X 6M              T1700000000000000
P212808484000189001CORPO CX SIF 100X100X50/40                                                00732CORPO CX SIF 100X100X50/40              T1700000000000000
P212808484000189001CORPO CX SIF 150X185X75                                                   00733CORPO CX SIF 150X185X75                 T1700000000000000
P212808484000189001GRELHA N1 RED BR P/RL E CX SIF 100                                        00734GRELHA N1 RED BR P/RL E CX SIF 100      T1700000000000000
P212808484000189001PORTA GRELHA N1 RED BR CX SIF 100                                         00735PORTA GRELHA N1 RED BR CX SIF 100       T1700000000000000
P212808484000189001CORPO CX SIF 100X150X50                                                   00736CORPO CX SIF 100X150X50                 T1700000000000000
P212808484000189001CAP SOLDAVEL 32MM                                                         00737CAP SOLDAVEL 32MM                       T1700000000000000
P212808484000189001CAP ESGOTO SN DN  50                                                      00738CAP ESGOTO SN DN  50                    T1700000000000000
P212808484000189001TE REDUZIDO ESGOTO SN DN 150X100                                          00739TE REDUZIDO ESGOTO SN DN 150X100        T1700000000000000
P212808484000189001JOELHO 90 ESGOTO SN DN 150                                                00740JOELHO 90 ESGOTO SN DN 150              T1700000000000000
P212808484000189001REDUCAO EXC ESGOTO SN DN 150 X 100                                        00741REDUCAO EXC ESGOTO SN DN 150 X 100      T1700000000000000
P212808484000189001JOELHO 45 ESGOTO SN DN 150                                                00742JOELHO 45 ESGOTO SN DN 150              T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO SN DN 150                                             00743LUVA SIMPLES ESGOTO SN DN 150           T1700000000000000
P212808484000189001TE ESGOTO SN DN 150                                                       00744TE ESGOTO SN DN 150                     T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO SN DN 150                                           00745JUNCAO SIMPLES ESGOTO SN DN 150         T1700000000000000
P212808484000189001JUNCAO SIMPLES RED ESGOTO SN DN 150X100                                   00746JUNCAO SIMPLES RED ESGOTO SN DN 150X100 T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL CURTA 75X60MM                                     00747BUCHA REDUZIDA SOLDAVEL CURTA 75X60MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA ROSCA   1X3/4                                              00748BUCHA REDUZIDA ROSCA   1X3/4            T1700000000000000
P212808484000189001ADAPTADOR SOLD CURTO 40MM X 1.1/4                                         00749ADAPTADOR SOLD CURTO 40MM X 1.1/4       T1700000000000000
P212808484000189001ADAPTADOR SOLD CURTO 50MM X 1.1/2                                         00750ADAPTADOR SOLD CURTO 50MM X 1.1/2       T1700000000000000
P212808484000189001                                                                          00751ADAPTADOR SOLD CURTO 60MM X 2           T3200000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL CURTA 40X32MM                                     00752BUCHA REDUZIDA SOLDAVEL CURTA 40X32MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL CURTA 60X50MM                                     00753BUCHA REDUZIDA SOLDAVEL CURTA 60X50MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL LONGA 50X32MM                                     00754BUCHA REDUZIDA SOLDAVEL LONGA 50X32MM   T1700000000000000
P212808484000189001CAP SOLDAVEL 40MM                                                         00755CAP SOLDAVEL 40MM                       T1700000000000000
P212808484000189001CAP SOLDAVEL 50MM                                                         00756CAP SOLDAVEL 50MM                       T1700000000000000
P212808484000189001JOELHO 45 SOLDAVEL 32 MM                                                  00757JOELHO 45 SOLDAVEL 32 MM                T1700000000000000
P212808484000189001JOELHO 45 SOLDAVEL 40 MM                                                  00758JOELHO 45 SOLDAVEL 40 MM                T1700000000000000
P212808484000189001JOELHO 45 SOLDAVEL 50 MM                                                  00759JOELHO 45 SOLDAVEL 50 MM                T1700000000000000
P212808484000189001TE REDUZIDO SOLDAVEL 50X25 MM                                             00760TE REDUZIDO SOLDAVEL 50X25 MM           T1700000000000000
P212808484000189001UNIAO SOLDAVEL 40MM                                                       00761UNIAO SOLDAVEL 40MM                     T1700000000000000
P212808484000189001UNIAO SOLDAVEL 50MM                                                       00762UNIAO SOLDAVEL 50MM                     T1700000000000000
P212808484000189001JOELHO 90 BR C/ ANEL LABIAL DN 40X38                                      00763JOELHO 90 BR C/ ANEL LABIAL DN 40X38    T1700000000000000
P212808484000189001CAP ESGOTO SN DN  75                                                      00764CAP ESGOTO SN DN  75                    T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO SN DN  75                                           00765JUNCAO SIMPLES ESGOTO SN DN  75         T1700000000000000
P212808484000189001REGISTRO ESF SOLDAVEL 20MM                                                00766REGISTRO ESF SOLDAVEL 20MM              T1700000000000000
P212808484000189001REGISTRO ESF SOLDAVEL 25MM                                                00767REGISTRO ESF SOLDAVEL 25MM              T1700000000000000
P212808484000189001REGISTRO ESF SOLDAVEL 40MM                                                00768REGISTRO ESF SOLDAVEL 40MM              T1700000000000000
P212808484000189001REGISTRO ESF SOLDAVEL 50MM                                                00769REGISTRO ESF SOLDAVEL 50MM              T1700000000000000
P212808484000189001TE ISNP ESG SN DN 100X75                                                  00771TE ISNP ESG SN DN 100X75                T1700000000000000
P212808484000189001CURVA 90 LONGA ESG SN DN 40                                               00773CURVA 90 LONGA ESG SN DN 40             T1700000000000000
P212808484000189001CURVA 90 LONGA ESG PRIM DN  50 SN                                         00774CURVA 90 LONGA ESG PRIM DN  50 SN       T1700000000000000
P212808484000189001CURVA 90 LONGA ESG PRIM DN  75 SN                                         00775CURVA 90 LONGA ESG PRIM DN  75 SN       T1700000000000000
P212808484000189001CURVA 90 LONGA ESG PRIM DN 100 SN                                         00776CURVA 90 LONGA ESG PRIM DN 100 SN       T1700000000000000
P212808484000189001ANEL VED ESG DN 150                                                       00777ANEL VED ESG DN 150                     T1700000000000000
P212808484000189001ADESIVO FRASCO 850G                                                       00778ADESIVO FRASCO 850G                     T1700000000000000
P212808484000189001SOLUCAO LIMPADORA FRASCO 1000 CC                                          00779SOLUCAO LIMPADORA FRASCO 1000 CC        T1700000000000000
P212808484000189001ARAME RECOZIDO 12 ROLO 150 KG                                             00780ARAME RECOZIDO 12 ROLO 150 KG           T1700000000000000
P212808484000189001TUBO ESGOTO PETFORTE  40X6M                                               00781TUBO ESGOTO PETFORTE  40X6M             T1700000000000000
P212808484000189001TUBO ESGOTO PETFORTE  50X6M                                               00782TUBO ESGOTO PETFORTE  50X6M             T1700000000000000
P212808484000189001TUBO ESGOTO PETFORTE  75X6M                                               00783TUBO ESGOTO PETFORTE  75X6M             T1700000000000000
P212808484000189001TUBO ESGOTO PETFORTE 100X6M                                               00784TUBO ESGOTO PETFORTE 100X6M             T1700000000000000
P212808484000189001REGISTRO ESF ROSC 1/2                                                     00785REGISTRO ESF ROSC 1/2                   T1700000000000000
P212808484000189001REGISTRO ESF ROSC 3/4                                                     00786REGISTRO ESF ROSC 3/4                   T1700000000000000
P212808484000189001REGISTRO ESF ROSC 1                                                       00787REGISTRO ESF ROSC 1                     T1700000000000000
P212808484000189001JOELHO 45 ESGOTO S REFORCADA DN 100                                       00788JOELHO 45 ESGOTO S REFORCADA DN 100     T1700000000000000
P212808484000189001JOELHO 45 ESGOTO S REFORCADA DN  75                                       00789JOELHO 45 ESGOTO S REFORCADA DN  75     T1700000000000000
P212808484000189001JOELHO 90 ESGOTO S REFORCADA DN 100                                       00790JOELHO 90 ESGOTO S REFORCADA DN 100     T1700000000000000
P212808484000189001JOELHO 90 ESGOTO S REFORCADA DN  75                                       00791JOELHO 90 ESGOTO S REFORCADA DN  75     T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO S REFORCADA DN 100                                  00792JUNCAO SIMPLES ESGOTO S REFORCADA DN 100T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO S REFORCADA DN  75                                  00793JUNCAO SIMPLES ESGOTO S REFORCADA DN  75T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO S REFORCADA DN 100                                    00794LUVA SIMPLES ESGOTO S REFORCADA DN 100  T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO S REFORCADA DN  75                                    00795LUVA SIMPLES ESGOTO S REFORCADA DN  75  T1700000000000000
P212808484000189001REDUCAO EXC ESGOTO S REFORCADA DN 100X75                                  00796REDUCAO EXC ESGOTO S REFORCADA DN 100X75T1700000000000000
P212808484000189001TE ESGOTO S REFORCADA DN 100                                              00797TE ESGOTO S REFORCADA DN 100            T1700000000000000
P212808484000189001TE ESGOTO S REFORCADA DN  75                                              00798TE ESGOTO S REFORCADA DN  75            T1700000000000000
P212808484000189001JOELHO 45 ESGOTO S REFORCADA DN  50                                       00799JOELHO 45 ESGOTO S REFORCADA DN  50     T1700000000000000
P212808484000189001JOELHO 90 ESGOTO S REFORCADA DN  50                                       00800JOELHO 90 ESGOTO S REFORCADA DN  50     T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO S REFORCADA DN  50                                  00801JUNCAO SIMPLES ESGOTO S REFORCADA DN  50T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO S REFORCADA DN  50                                    00802LUVA SIMPLES ESGOTO S REFORCADA DN  50  T1700000000000000
P212808484000189001TELHA MAXILUX 2.44X0.50M CRISTAL                                          00803TELHA MAXILUX 2.44X0.50M CRISTAL        T1700000000000000
P212808484000189001GRELHA N75 RED RAD P/ CX SIF/RL BR 100                                    00804GRELHA N75 RED RAD P/ CX SIF/RL BR 100  T1700000000000000
P212808484000189001SIFAO FLEX N1 PIA/LAVAT 3/4X1.1/2                                         00805SIFAO FLEX N1 PIA/LAVAT 3/4X1.1/2       T1700000000000000
P212808484000189001SIFAO FLEX N4 PIA AMER 1.1/2X1.1/2                                        00806SIFAO FLEX N4 PIA AMER 1.1/2X1.1/2      T1700000000000000
P212808484000189001CAIXA DESCARGA PLUS AREIA                                                 00807CAIXA DESCARGA PLUS AREIA               T1700000000000000
P212808484000189001ASSENTO SANIT.FOFINHO PLUS AREIA                                          00808ASSENTO SANIT.FOFINHO PLUS AREIA        T1700000000000000
P212808484000189001MASSA PVA HIDRACOR SC 15 KG                                               00809MASSA PVA HIDRACOR SC 15 KG             T1700000000000000
P212808484000189001CHAPA MAXILUX 2.44X0.50M VERDE                                            00810CHAPA MAXILUX 2.44X0.50M VERDE          T1700000000000000
P212808484000189001TELHA ONDULADA 8MM 1,53X1,10M                                             00811TELHA ONDULADA 8MM 1,53X1,10M           T1700000000000000
P212808484000189001TELHA ONDULADA 8MM 1,83X1,10M                                             00812TELHA ONDULADA 8MM 1,83X1,10M           T1700000000000000
P212808484000189001HTELHA 4X3,6 CERAMICA                                                     00813HTELHA 4X3,6 CERAMICA                   T1700000000000000
P212808484000189001TEXTURAX BRANCO 18L                                                       00814TEXTURAX BRANCO 18L                     T1700000000000000
P212808484000189001TEXTURAX FLAMINGO 18L                                                     00815TEXTURAX FLAMINGO 18L                   T1700000000000000
P212808484000189001TEXTURAX OCRE COLONIAL 18L                                                00816TEXTURAX OCRE COLONIAL 18L              T1700000000000000
P212808484000189001TEXTURAX AMARELO FLORAL 18L                                               00817TEXTURAX AMARELO FLORAL 18L             T1700000000000000
P212808484000189001TEXTURAX GERANIO 18L                                                      00818TEXTURAX GERANIO 18L                    T1700000000000000
P212808484000189001TEXTURAX VERDE KIWI 18L                                                   00819TEXTURAX VERDE KIWI 18L                 T1700000000000000
P212808484000189001REJUNTE DO MESTRE BRANCO FRD 40X1                                         00820REJUNTE DO MESTRE BRANCO FRD 40X1       T1700000000000000
P212808484000189001REJUNTE DO MESTRE PRETO FRD 40X1                                          00821REJUNTE DO MESTRE PRETO FRD 40X1        T1700000000000000
P212808484000189001REJUNTE DO MESTRE CINZA 40X1                                              00822REJUNTE DO MESTRE CINZA 40X1            T1700000000000000
P212808484000189001REJUNTE DO MESTRE GRAFITE 40X1                                            00823REJUNTE DO MESTRE GRAFITE 40X1          T1700000000000000
P212808484000189001CAIXA PLASTICA AGUAFLEX  500 L C/TP                                       00824CAIXA PLASTICA AGUAFLEX  500 L C/TP     T1700000000000000
P212808484000189001TUBO SOLDAVEL MAX 20MM                                                    00825TUBO SOLDAVEL MAX 20MM                  T1700000000000000
P212808484000189001TUBO SOLDAVEL MAX 32MM                                                    00826TUBO SOLDAVEL MAX 32MM                  T1700000000000000
P212808484000189001TUBO SOLDAVEL MAX 25MM                                                    00827TUBO SOLDAVEL MAX 25MM                  T1700000000000000
P212808484000189001TELA ALAMBRADO 2.7MM 15X05CM 1.2X25M                                      00828TELA ALAMBRADO 2.7MM 15X05CM 1.2X25M    T1700000000000000
P212808484000189001PISO CER. 30X30 TURIN CINZA A                                             00829PISO CER. 30X30 TURIN CINZA A           T1700000000000000
P212808484000189001PISO CER. 30X30 TURIN CORAL A                                             00830PISO CER. 30X30 TURIN CORAL A           T1700000000000000
P212808484000189001HIDRAFORT SALMAO                                                          00831HIDRAFORT SALMAO                        T1700000000000000
P212808484000189001PREGO GERDAU 3/4X17                                                       00832PREGO GERDAU 3/4X17                     T1700000000000000
P212808484000189001PREGO GERDAU 3.1/2X8                                                      00833PREGO GERDAU 3.1/2X8                    T1700000000000000
P212808484000189001PREGO GERDAU 4X6                                                          00834PREGO GERDAU 4X6                        T1700000000000000
P212808484000189001PREGO GERDAU 5X6                                                          00835PREGO GERDAU 5X6                        T1700000000000000
P212808484000189001PREGO GERDAU 1X16 (S/ CABECA)                                             00836PREGO GERDAU 1X16 (S/ CABECA)           T1700000000000000
P212808484000189001PREGO GERDAU 2X13                                                         00837PREGO GERDAU 2X13                       T1700000000000000
P212808484000189001PISO CER. 30X30 ATHENAS BEGE A                                            00838PISO CER. 30X30 ATHENAS BEGE A          T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.BRANCO FRD 15/1                                        00839REJUNTE FLEX.QUART.BRANCO FRD 15/1      T1700000000000000
